CustomerID,Recommendations
C0001,"[('C0072', 0.9999999826526517), ('C0190', 0.9999999807833907), ('C0048', 0.9999999794109153)]"
C0002,"[('C0029', 0.9999999957283525), ('C0010', 0.999999983524607), ('C0192', 0.9999998914966555)]"
C0003,"[('C0178', 0.9999999999408773), ('C0052', 0.9999999855831183), ('C0166', 0.9999999719618966)]"
C0004,"[('C0021', 0.9999999998417695), ('C0101', 0.9999999986285694), ('C0173', 0.9999999933110294)]"
C0005,"[('C0112', 0.9999999979439013), ('C0197', 0.9999999957627155), ('C0186', 0.9999999661494285)]"
C0006,"[('C0117', 0.9999999989687686), ('C0168', 0.999999988739154), ('C0135', 0.9999999489048162)]"
C0007,"[('C0120', 0.9999999982630824), ('C0050', 0.9999999776814706), ('C0115', 0.9999999722560365)]"
C0008,"[('C0175', 0.9999994913843059), ('C0065', 0.9999994206427576), ('C0141', 0.9999988405426085)]"
C0009,"[('C0077', 0.9999999720113002), ('C0043', 0.9999992230109671), ('C0083', 0.9999991278584227)]"
C0010,"[('C0029', 0.9999999960311681), ('C0002', 0.999999983524607), ('C0199', 0.9999998690674429)]"
C0011,"[('C0064', 0.9999999949204756), ('C0137', 0.9999999877123459), ('C0187', 0.9999999683796487)]"
C0012,"[('C0051', 0.9999999698030526), ('C0045', 0.9999999563371582), ('C0124', 0.9999999466053587)]"
C0013,"[('C0143', 0.9999999999638317), ('C0045', 0.9999999865744754), ('C0041', 0.9999999859988549)]"
C0014,"[('C0151', 0.9999955987075505), ('C0033', 0.9999942788604076), ('C0130', 0.9999901885657082)]"
C0015,"[('C0063', 0.9999999693767728), ('C0123', 0.9999999641484495), ('C0144', 0.9999997498071903)]"
C0016,"[('C0183', 0.9999999999671032), ('C0107', 0.999999996021189), ('C0149', 0.9999999879277447)]"
C0017,"[('C0004', 0.9999999824343132), ('C0021', 0.9999999789417584), ('C0101', 0.9999999712465449)]"
C0018,"[('C0187', 0.9999999992909112), ('C0171', 0.9999999973766098), ('C0064', 0.9999999822633394)]"
C0019,"[('C0116', 0.9999998419357383), ('C0034', 0.9999996428735833), ('C0118', 0.9999995153425361)]"
C0020,"[('C0150', 0.999999848386912), ('C0080', 0.9999998341323583), ('C0110', 0.9999997421122243)]"
